Domain4
[1x2](SQ)0.0989440456165 (ABS)0.247282517026
[1x3](SQ)0.106501769923 (ABS)0.2544024888
[1x4](SQ)0.0708990795042 (ABS)0.211312257498
[1x5](SQ)0.14243860722 (ABS)0.31301812898
[1x6](SQ)0.128150099445 (ABS)0.295910730966

[2x3](SQ)0.105749244113 (ABS)0.256198848308
[2x4](SQ)0.0847992546053 (ABS)0.244619476643
[2x5](SQ)0.0648757474798 (ABS)0.194533686384
[2x6](SQ)0.138660014205 (ABS)0.308953388751

[3x4](SQ)0.128172229096 (ABS)0.296276938413
[3x5](SQ)0.130027191211 (ABS)0.301234827258
[3x6](SQ)0.0583384180669 (ABS)0.183296069098

[4x5](SQ)0.0630092099909 (ABS)0.194950729989
[4x6](SQ)0.0796359704096 (ABS)0.231562471181

[5x6](SQ)0.0698800650682 (ABS)0.210427348043
